Ion Energy (eV),dE/dx Elec.,Projected Range (um)
1.00E+03,1.06E-01,1.77E-02
1.10E+03,1.11E-01,1.93E-02
1.20E+03,1.16E-01,2.08E-02
1.30E+03,1.21E-01,2.24E-02
1.40E+03,1.25E-01,2.39E-02
1.50E+03,1.30E-01,2.55E-02
1.60E+03,1.34E-01,2.70E-02
1.70E+03,1.38E-01,2.85E-02
1.80E+03,1.42E-01,3.00E-02
2.00E+03,1.50E-01,3.30E-02
2.25E+03,1.58E-01,3.66E-02
2.50E+03,1.66E-01,4.03E-02
2.75E+03,1.74E-01,4.39E-02
3.00E+03,1.82E-01,4.74E-02
3.25E+03,1.89E-01,5.09E-02
3.50E+03,1.96E-01,5.44E-02
3.75E+03,2.03E-01,5.78E-02
4.00E+03,2.09E-01,6.12E-02
4.50E+03,2.21E-01,6.78E-02
5.00E+03,2.31E-01,7.43E-02
5.50E+03,2.41E-01,8.07E-02
6.00E+03,2.50E-01,8.70E-02
6.50E+03,2.59E-01,9.32E-02
7.00E+03,2.67E-01,9.94E-02
8.00E+03,2.83E-01,1.11E-01
9.00E+03,2.98E-01,1.23E-01
1.00E+04,3.13E-01,1.34E-01
1.10E+04,3.28E-01,1.45E-01
1.20E+04,3.42E-01,1.56E-01
1.30E+04,3.56E-01,1.66E-01
1.40E+04,3.69E-01,1.76E-01
1.50E+04,3.81E-01,1.86E-01
1.60E+04,3.93E-01,1.96E-01
1.70E+04,4.05E-01,2.05E-01
1.80E+04,4.15E-01,2.14E-01
2.00E+04,4.35E-01,2.32E-01
2.25E+04,4.56E-01,2.54E-01
2.50E+04,4.73E-01,2.75E-01
2.75E+04,4.88E-01,2.96E-01
3.00E+04,5.00E-01,3.16E-01
3.25E+04,5.10E-01,3.36E-01
3.50E+04,5.18E-01,3.55E-01
3.75E+04,5.24E-01,3.74E-01
4.00E+04,5.29E-01,3.94E-01
4.50E+04,5.35E-01,4.32E-01
5.00E+04,5.38E-01,4.70E-01
5.50E+04,5.38E-01,5.08E-01
6.00E+04,5.37E-01,5.47E-01
6.50E+04,5.33E-01,5.86E-01
7.00E+04,5.29E-01,6.25E-01
8.00E+04,5.19E-01,7.04E-01
9.00E+04,5.08E-01,7.86E-01
1.00E+05,4.96E-01,8.69E-01
1.10E+05,4.84E-01,9.55E-01
1.20E+05,4.72E-01,1.04
1.30E+05,4.60E-01,1.13
1.40E+05,4.49E-01,1.23
1.50E+05,4.39E-01,1.32
1.60E+05,4.29E-01,1.42
1.70E+05,4.19E-01,1.52
1.80E+05,4.10E-01,1.62
2.00E+05,3.93E-01,1.83
2.25E+05,3.74E-01,2.11
2.50E+05,3.57E-01,2.4
2.75E+05,3.42E-01,2.7
3.00E+05,3.29E-01,3.02
3.25E+05,3.17E-01,3.35
3.50E+05,3.06E-01,3.69
3.75E+05,2.95E-01,4.05
4.00E+05,2.86E-01,4.41
4.50E+05,2.70E-01,5.18
5.00E+05,2.55E-01,5.99
5.50E+05,2.43E-01,6.85
6.00E+05,2.32E-01,7.75
6.50E+05,2.22E-01,8.69
7.00E+05,2.14E-01,9.67
8.00E+05,1.99E-01,11.74
9.00E+05,1.86E-01,13.97
1.00E+06,1.76E-01,16.33
1.10E+06,1.66E-01,18.84
1.20E+06,1.57E-01,21.48
1.30E+06,1.49E-01,24.28
1.40E+06,1.42E-01,27.22
1.50E+06,1.36E-01,30.29
1.60E+06,1.31E-01,33.5
1.70E+06,1.25E-01,36.85
1.80E+06,1.21E-01,40.33
2.00E+06,1.12E-01,47.69
2.25E+06,1.04E-01,57.61
2.50E+06,9.64E-02,68.32
2.75E+06,9.02E-02,79.8
3.00E+06,8.49E-02,92.05
3.25E+06,8.02E-02,5.03
3.50E+06,7.60E-02,18.76
3.75E+06,7.24E-02,33.2
4.00E+06,6.91E-02,48.36
4.50E+06,6.34E-02,80.77
5.00E+06,5.87E-02,15.93
5.50E+06,5.47E-02,53.8
6.00E+06,5.12E-02,94.32
6.50E+06,4.83E-02,37.45
7.00E+06,4.56E-02,83.14
8.00E+06,4.13E-02,82.01
9.00E+06,3.77E-02,90.78
1.00E+07,3.48E-02,9.23
1.10E+07,3.23E-02,37.16
1.20E+07,3.02E-02,74.42
1.30E+07,2.84E-02,1.12E+03
1.40E+07,2.68E-02,1.28E+03
1.50E+07,2.54E-02,1.44E+03
1.60E+07,2.42E-02,1.61E+03
1.70E+07,2.31E-02,1.80E+03
1.80E+07,2.20E-02,1.99E+03
2.00E+07,2.03E-02,2.39E+03
2.25E+07,1.85E-02,2.95E+03
2.50E+07,1.70E-02,3.55E+03
2.75E+07,1.58E-02,4.20E+03
3.00E+07,1.48E-02,4.91E+03
3.25E+07,1.39E-02,5.66E+03
3.50E+07,1.31E-02,6.46E+03
3.75E+07,1.24E-02,7.30E+03
4.00E+07,1.18E-02,8.19E+03
4.50E+07,1.07E-02,1.01E+04
5.00E+07,9.90E-03,1.22E+04
5.50E+07,9.19E-03,1.44E+04
6.00E+07,8.60E-03,1.69E+04
6.50E+07,8.09E-03,1.94E+04
7.00E+07,7.64E-03,2.22E+04
8.00E+07,6.91E-03,2.81E+04
9.00E+07,6.33E-03,3.46E+04
1.00E+08,5.86E-03,4.16E+04
